date,AeromexSentiment,InterjetSentiment,VolarisSentiment
2019-09-18 17:00:00+00:00,0.1920270254377437,0.1590471858510297,0.1505992163265843
2019-09-18 18:00:00+00:00,0.16460480682198272,0.1514920578227691,0.03250770942012934
2019-09-18 19:00:00+00:00,0.1578919604556583,0.16734811647905312,0.09413784860953983
2019-09-18 20:00:00+00:00,0.15358169593123733,0.17275208621795896,0.13968391347215864
2019-09-18 21:00:00+00:00,0.19695627647137798,0.15437684049021444,0.07120554332882713
2019-09-18 22:00:00+00:00,0.2212126959239421,0.1574711246465288,0.032862052224164946
2019-09-18 23:00:00+00:00,0.16912762912537016,0.14956891401645417,0.04444090399147161
2019-09-19 00:00:00+00:00,0.194059883990151,0.15271907190109138,0.07554961284500082
2019-09-19 01:00:00+00:00,0.18616742958612856,0.1586810998032414,0.04017472828275639
2019-09-19 02:00:00+00:00,0.14565580522536734,0.1595974240896404,0.07119918836619944
2019-09-19 03:00:00+00:00,0.1788280908030367,0.1506640846320413,0.09972493025354799
2019-09-19 04:00:00+00:00,0.23617653919062614,0.15759490786353958,0.07965372286714724
2019-09-19 05:00:00+00:00,0.16330522208824147,0.1610929534256824,0.04122000220589715
2019-09-19 06:00:00+00:00,0.1848995439636893,0.15804743470751298,0.03153095064673637
2019-09-19 07:00:00+00:00,0.14263904778294614,0.1404503057474749,0.3533944196422855
2019-09-19 08:00:00+00:00,0.2584602778393589,0.15543665573726817,0.1491687521542719
2019-09-19 09:00:00+00:00,0.21974392040895854,0.1498929099915317,0.21683138596729798
2019-09-19 10:00:00+00:00,0.12793148928531892,0.12571111714252453,0.007226618377027291
2019-09-19 11:00:00+00:00,0.2205751500366498,0.1476084695227332,0.013762708194771262
2019-09-19 12:00:00+00:00,0.2303742177648475,0.15411006062500723,0.006183792514775625
2019-09-19 13:00:00+00:00,0.19517519737849384,0.1477882385168279,0.08143170039009766
2019-09-19 14:00:00+00:00,0.14742335564284925,0.1571800752076834,0.17806786359688165
2019-09-19 15:00:00+00:00,0.15995218700721742,0.14432805621718078,0.20263097407412026
2019-09-19 16:00:00+00:00,0.19931771271225432,0.16049842263885059,0.0202483395926086
2019-09-19 17:00:00+00:00,0.23551821380633078,0.15150100975247915,0.2895268224163074
2019-09-19 18:00:00+00:00,0.21249358197359877,0.16337643717524183,0.0649386738380894
2019-09-19 19:00:00+00:00,0.14999655338398243,0.16800141763724666,0.05550879750858958
2019-09-19 20:00:00+00:00,0.1948858539790467,0.16459418210917928,0.13528406695071743
2019-09-19 21:00:00+00:00,0.22166001388354115,0.16494751979569858,0.07661819406756974
2019-09-19 22:00:00+00:00,0.2547922359994562,0.17173039705720577,0.07379514162822269
2019-09-19 23:00:00+00:00,0.2304132795080204,0.179873597560804,0.019755846771831335
2019-09-20 00:00:00+00:00,0.23185907233140984,0.17223203777291862,0.04711534999008771
2019-09-20 01:00:00+00:00,0.12480638057322113,0.14069021037600932,0.09631467646855045
2019-09-20 02:00:00+00:00,0.16369410827857514,0.1455890443694605,0.1209449148421846
2019-09-20 03:00:00+00:00,0.1579650705155432,0.15809079024748857,0.09820507951650598
2019-09-20 04:00:00+00:00,0.21636929128035198,0.14554645270452765,0.19856896602568286
2019-09-20 05:00:00+00:00,0.12088401366119324,0.19734964323197957,0.13264337572949342
2019-09-20 06:00:00+00:00,0.031658341419945224,0.2050652042219351,0.18193572180340287
2019-09-20 07:00:00+00:00,0.08841627539591922,0.08729756355722017,0.011753213514588029
2019-09-20 08:00:00+00:00,0.15505452817027568,0.17144265197189387,0.1115450733203637
2019-09-20 09:00:00+00:00,0.017435327268178195,0.1260527109467711,0.017884585691389874
2019-09-20 10:00:00+00:00,0.09150135771744733,0.15192927021888813,0.24670964809697024
2019-09-20 11:00:00+00:00,0.2523704565123795,0.1440778147207341,0.05254394697854743
2019-09-20 12:00:00+00:00,0.11929858693498537,0.17434643083426163,0.02465497522684426
2019-09-20 13:00:00+00:00,0.1224963829258463,0.1262228149720817,0.015198282607524703
2019-09-20 14:00:00+00:00,0.2403431547708607,0.16792451280565135,0.30460032882389027
2019-09-20 15:00:00+00:00,0.1812974365680958,0.12409682201775936,0.010984811780021607
2019-09-20 16:00:00+00:00,0.26400122755306304,0.16212805094354113,0.09988555690690497
2019-09-20 17:00:00+00:00,0.1818155198101436,0.13679617786944834,0.18445712261172673
2019-09-20 18:00:00+00:00,0.3760090792744597,0.18794060379858266,0.16293530146948645
2019-09-20 19:00:00+00:00,0.1353060691925926,0.12499477373832175,0.08919753078497929
2019-09-20 20:00:00+00:00,0.32859499357894334,0.1535145412348789,0.02262612311737772
2019-09-20 21:00:00+00:00,0.2572314083425698,0.17713450004495193,0.0010995561589861257
2019-09-20 22:00:00+00:00,0.16466243872647082,0.15118143430270928,0.008314102897303482
2019-09-20 23:00:00+00:00,0.1966455443087048,0.1465704658697682,0.024309221736555586
2019-09-21 00:00:00+00:00,0.05067990007907696,0.14812237330040384,0.013471205169951733
2019-09-21 01:00:00+00:00,0.08364966505874318,0.1640224052089703,7.344600504971474e-05
2019-09-21 02:00:00+00:00,0.15806215901049336,0.13489524244826961,0.11968947676675462
2019-09-21 03:00:00+00:00,0.09600179185844364,0.1081237311374235,0.1097881380007737
2019-09-21 04:00:00+00:00,0.3327692303323973,0.16031142434626924,0.9838055531386966
2019-09-21 05:00:00+00:00,0.11134579323402727,0.13112038814644852,0.02053324880271084
2019-09-21 06:00:00+00:00,0.3304360349369387,0.14943327642008472,0.08024104855471319
